thumb_cmc_spread,thumb_cmc_stretch,thumb_mcp_stretch,thumb_ip_stretch,index_mcp_spread,index_mcp_stretch,index_pip_stretch,index_dip_stretch,middle_mcp_spread,middle_mcp_stretch,middle_pip_stretch,middle_dip_stretch,ring_mcp_spread,ring_mcp_stretch,ring_pip_stretch,ring_dip_stretch,pinky_mcp_spread,pinky_mcp_stretch,pinky_pip_stretch,pinky_dip_stretch
35.07,44.91,1.92,2.16,8.02,41.21,4.84,3.63,3.1,30.07,2.23,1.67,-3.19,20.23,7.58,5.68,-4.04,25.52,2.14,1.6
35.12,44.86,1.83,2.11,8.01,41.2,4.82,3.62,3.16,29.92,2.28,1.71,-3.13,20.18,7.59,5.69,-3.96,25.5,2.14,1.6
35.26,45,1.83,2.16,8.03,41.18,4.8,3.6,3.21,29.93,2.27,1.7,-3.05,20.16,7.58,5.68,-3.89,25.45,2.14,1.6
35.42,44.83,1.87,2.16,7.89,41.4,4.77,3.58,3.06,29.99,2.26,1.7,-3.16,20.23,7.55,5.67,-3.89,25.57,2.12,1.59
35.59,44.85,1.83,2.11,7.88,41.45,4.77,3.58,3.11,30,2.25,1.69,-3.09,20.21,7.54,5.65,-3.82,25.46,2.12,1.59
35.85,44.97,1.83,2.11,8,41.12,4.74,3.55,3.13,30.01,2.23,1.67,-3.1,20.19,7.54,5.65,-3.76,25.36,2.12,1.59
35.87,45.12,1.74,2.11,8.04,41.16,4.74,3.55,3.25,29.94,2.23,1.67,-2.94,20.18,7.51,5.63,-3.57,25.28,2.1,1.58
36,45.29,1.74,2.11,8.05,41.2,4.71,3.54,3.33,29.98,2.23,1.67,-2.82,20.2,7.49,5.62,-3.46,25.16,2.1,1.58
36.25,45.3,1.66,2.07,8.05,41.31,4.69,3.52,3.36,30.28,2.28,1.71,-2.7,20.21,7.49,5.62,-3.22,25.1,2.09,1.57
36.27,45.13,1.66,2.07,8.13,41.22,4.68,3.51,3.47,30.18,2.29,1.72,-2.62,20.13,7.46,5.59,-2.99,24.96,2.09,1.57
36.06,45.36,1.66,2.04,9.08,38.64,5.2,3.9,4.2,27.48,2.15,1.61,-2.36,18.28,6.94,5.21,-2.74,24.1,2,1.5
35.97,46.39,1.56,2.07,9.08,38.4,5.09,3.82,4,27.29,1.82,1.37,-2.63,17.63,6.65,4.99,-3.08,24.26,1.87,1.4
35.22,46.79,1.56,2.01,8.79,38.42,4.8,3.6,3.63,27.18,1.78,1.33,-3.03,16.94,6.01,4.5,-3.61,24.35,1.65,1.24
35.02,46.31,1.66,2.01,8.69,38.48,4.78,3.59,3.49,27.26,1.76,1.32,-3.22,17.25,5.97,4.48,-3.79,24.49,1.63,1.23
35.04,45.73,1.83,1.97,8.71,38.29,4.77,3.58,3.26,27.49,1.74,1.3,-3.31,17.28,6.01,4.5,-4.09,24.79,1.65,1.24
34.94,45.63,1.92,1.92,8.72,38.3,4.75,3.56,3.38,27.27,1.76,1.32,-3.33,17.36,6.05,4.54,-4.08,24.88,1.66,1.24
35.09,45.81,1.92,1.84,8.67,38.46,4.72,3.54,3.39,27.3,1.76,1.32,-3.25,17.5,6.08,4.56,-4.06,24.87,1.69,1.26
35.33,45.66,2.02,1.78,8.62,38.62,4.71,3.54,3.48,27.35,1.76,1.32,-3.07,17.57,6.1,4.58,-3.89,24.85,1.75,1.31
35.45,45.82,2.03,1.63,8.66,38.56,4.69,3.52,3.52,27.33,1.74,1.3,-2.97,17.58,6.08,4.56,-3.84,24.75,1.73,1.3
35.59,45.92,2.02,1.63,8.63,38.77,4.69,3.52,3.64,27.31,1.74,1.3,-2.84,17.55,6.08,4.56,-3.7,24.72,1.73,1.3
35.68,46.1,2.2,1.44,8.63,38.81,4.7,3.53,3.69,27.41,1.73,1.29,-2.81,17.59,6.02,4.52,-3.62,24.75,1.67,1.25
35.69,46.12,2.15,1.39,8.56,38.83,4.75,3.56,3.66,27.49,1.72,1.29,-2.91,17.59,5.96,4.47,-3.62,24.87,1.67,1.25
35.65,46.06,2.2,1.46,8.53,38.87,4.7,3.53,3.69,27.54,1.7,1.28,-2.91,17.68,5.94,4.46,-3.62,24.9,1.65,1.24
35.7,46.24,2.39,1.44,8.52,38.9,4.68,3.51,3.76,27.5,1.69,1.27,-2.91,17.6,5.94,4.46,-3.61,24.83,1.65,1.24
35.73,46.3,2.39,1.48,8.56,38.91,4.65,3.48,3.82,27.5,1.68,1.26,-2.87,17.54,5.92,4.44,-3.57,24.8,1.65,1.24
35.61,46.02,2.11,1.44,8.61,38.81,4.7,3.53,3.88,27.44,1.68,1.26,-2.88,17.54,5.91,4.43,-3.55,24.82,1.65,1.24
35.57,45.95,2.2,1.44,8.63,38.73,4.72,3.54,3.87,27.45,1.68,1.26,-2.93,17.61,5.89,4.42,-3.58,24.93,1.65,1.24
35.58,45.86,2.02,1.39,8.6,38.8,4.68,3.51,3.87,27.47,1.68,1.26,-2.91,17.63,5.89,4.42,-3.57,25.01,1.65,1.24
35.68,45.94,2.07,1.39,8.59,38.88,4.64,3.48,3.94,27.45,1.68,1.26,-2.84,17.61,5.89,4.42,-3.54,24.94,1.65,1.24
35.74,45.97,2.11,1.39,8.58,38.91,4.6,3.45,3.93,27.42,1.68,1.26,-2.82,17.61,5.89,4.42,-3.52,24.92,1.65,1.24
35.72,45.97,2.07,1.39,8.56,38.93,4.58,3.44,3.94,27.39,1.67,1.25,-2.83,17.6,5.88,4.41,-3.53,24.98,1.64,1.23
35.73,45.94,2.02,1.39,8.55,38.92,4.58,3.44,3.94,27.38,1.68,1.26,-2.82,17.62,5.88,4.41,-3.52,24.99,1.64,1.23
35.74,45.94,2.11,1.34,8.54,38.98,4.56,3.42,3.93,27.41,1.68,1.26,-2.83,17.63,5.88,4.41,-3.53,25,1.64,1.23
35.82,45.87,2.02,1.34,8.52,39.02,4.55,3.41,3.91,27.43,1.67,1.25,-2.9,17.6,5.86,4.39,-3.54,25.05,1.64,1.23
35.89,46.01,2.2,1.39,8.51,39.05,4.55,3.41,3.89,27.45,1.67,1.25,-2.94,17.64,5.88,4.41,-3.55,25.1,1.65,1.24
35.92,46.19,2.2,1.39,8.51,39.07,4.55,3.41,3.89,27.44,1.68,1.26,-2.93,17.66,5.88,4.41,-3.55,25.08,1.64,1.23
35.89,46.02,2.02,1.39,8.49,39.07,4.54,3.4,3.87,27.43,1.68,1.26,-2.97,17.65,5.88,4.41,-3.58,25.11,1.64,1.23
35.88,45.97,2.02,1.37,8.49,39.09,4.52,3.39,3.88,27.44,1.68,1.26,-2.95,17.67,5.88,4.41,-3.57,25.14,1.64,1.23
35.94,46.11,2.16,1.39,8.46,39.16,4.52,3.39,3.89,27.47,1.68,1.26,-2.92,17.71,5.88,4.41,-3.55,25.15,1.65,1.24
35.97,46.04,2.03,1.34,8.46,39.17,4.5,3.38,3.89,27.46,1.68,1.26,-2.91,17.73,5.86,4.4,-3.55,25.16,1.64,1.23
36.01,46.11,2.07,1.37,8.46,39.2,4.5,3.38,3.89,27.48,1.68,1.26,-2.89,17.75,5.86,4.4,-3.54,25.16,1.65,1.24
36.05,46.13,2.03,1.34,8.45,39.22,4.49,3.37,3.91,27.49,1.68,1.26,-2.86,17.76,5.86,4.4,-3.53,25.18,1.64,1.23
36.09,46.2,2.11,1.34,8.43,39.26,4.49,3.37,3.9,27.5,1.68,1.26,-2.86,17.78,5.88,4.41,-3.52,25.19,1.64,1.23
36.14,46.23,2.11,1.34,8.42,39.29,4.49,3.37,3.89,27.53,1.67,1.25,-2.87,17.82,5.83,4.37,-3.52,25.21,1.64,1.23
36.14,46.15,2.02,1.39,8.42,39.29,4.48,3.36,3.88,27.54,1.66,1.24,-2.88,17.86,5.83,4.37,-3.53,25.25,1.64,1.23
36.21,46.21,2.02,1.34,8.41,39.33,4.48,3.36,3.89,27.55,1.67,1.25,-2.86,17.89,5.83,4.37,-3.52,25.27,1.62,1.21
36.21,46.22,2.02,1.37,8.39,39.37,4.47,3.35,3.88,27.57,1.66,1.25,-2.87,17.92,5.83,4.37,-3.54,25.3,1.64,1.23
36.25,46.24,2.02,1.37,8.39,39.37,4.46,3.35,3.88,27.57,1.66,1.25,-2.87,17.92,5.82,4.37,-3.54,25.31,1.64,1.23
36.27,46.25,2.02,1.34,8.38,39.38,4.45,3.33,3.9,27.55,1.67,1.25,-2.85,17.93,5.81,4.36,-3.53,25.29,1.62,1.21
36.34,46.35,2.11,1.34,8.36,39.41,4.45,3.33,3.89,27.58,1.67,1.25,-2.86,17.95,5.81,4.36,-3.53,25.32,1.62,1.21
