thumb_cmc_spread,thumb_cmc_stretch,thumb_mcp_stretch,thumb_ip_stretch,index_mcp_spread,index_mcp_stretch,index_pip_stretch,index_dip_stretch,middle_mcp_spread,middle_mcp_stretch,middle_pip_stretch,middle_dip_stretch,ring_mcp_spread,ring_mcp_stretch,ring_pip_stretch,ring_dip_stretch,pinky_mcp_spread,pinky_mcp_stretch,pinky_pip_stretch,pinky_dip_stretch
6.88,6.26,40.1,18.21,2.6,-5.71,4.53,3.4,-10.74,-6.57,1.03,0.78,-12.32,55.77,90.13,67.6,-16.6,54.34,87.4,65.55
6.84,6.23,40.1,18.19,2.5,-5.63,4.53,3.4,-11.03,-6.55,1.03,0.78,-12.33,55.83,90.13,67.6,-16.62,54.34,87.43,65.57
5.26,6.27,40.1,18.21,2.47,-7.82,4.52,3.39,-11.23,-8.18,1.03,0.78,-12.33,55.14,90.14,67.6,-16.7,53.06,87.45,65.59
2.59,5.28,40.01,18.21,2.95,-11.99,4.52,3.39,-11.75,-11.24,1.03,0.78,-12.4,54.47,90.13,67.6,-17.1,51.44,87.42,65.57
1.84,4.87,40.01,18.21,3.24,-13.54,4.52,3.39,-12.32,-12.59,1.03,0.78,-12.47,54.27,90.14,67.6,-17.43,51.07,87.48,65.61
-0.41,3.9,40.1,18.21,3.23,-16.54,4.53,3.4,-13.49,-15.3,1.03,0.78,-12.57,53.53,90.07,67.55,-17.9,50,87.62,65.71
-2.1,3.01,40.22,18.2,2.81,-18.77,4.52,3.39,-14.99,-17.6,1.03,0.78,-12.66,53.03,90.07,67.55,-18.35,49.24,87.71,65.78
-3.76,2.22,40.22,18.19,2.62,-21.21,4.52,3.39,-16.25,-19.78,1.03,0.78,-12.74,52.36,90.01,67.51,-18.76,48.32,87.71,65.78
-4.92,1.58,40.22,18.13,2.34,-22.91,4.52,3.39,-17.19,-21.36,1.03,0.78,-12.8,52.11,90.01,67.51,-19.04,47.67,87.64,65.73
-4.94,1.02,40.1,18.13,1.25,-22.81,4.52,3.39,-18.02,-21.44,1.03,0.78,-13.25,52.46,90.01,67.51,-19.29,48.04,87.67,65.75
-5.07,0.64,40.1,18.13,0.82,-22.76,4.51,3.38,-18.35,-21.4,1.03,0.78,-13.44,52.4,90.01,67.51,-19.41,48.22,87.76,65.82
-4.96,0.16,40.01,18.13,0.35,-22.73,4.51,3.38,-18.81,-21.24,1.03,0.78,-13.7,52.38,90.01,67.51,-19.58,48.53,87.73,65.8
-5.04,-0.35,40.01,18.13,-0.24,-22.62,4.51,3.38,-19.28,-21,1.03,0.78,-13.97,52.76,90.01,67.51,-19.78,48.93,87.76,65.82
-4.88,-0.64,40.01,18.13,-0.7,-22.45,4.52,3.39,-19.63,-20.9,1.03,0.77,-14.15,53.17,90.01,67.51,-19.89,49.27,87.78,65.84
-4.68,-1.34,40.01,18.13,-1.76,-22.21,4.51,3.38,-20.28,-20.71,1.03,0.77,-14.51,53.41,90.01,67.51,-20.1,49.69,87.85,65.89
-4.77,-2.27,39.96,18.19,-2.85,-22.07,4.51,3.38,-21.01,-20.48,1.03,0.77,-14.9,53.77,90.01,67.51,-20.31,50.05,87.92,65.94
-4.84,-2.91,39.91,18.19,-3.5,-21.96,4.52,3.39,-21.41,-20.29,1.03,0.77,-15.14,53.74,90.01,67.51,-20.47,50.34,87.94,65.96
-4.9,-3.29,39.91,18.24,-3.96,-21.92,4.51,3.38,-21.72,-20.21,1.03,0.77,-15.31,53.82,89.95,67.46,-20.58,50.51,87.97,65.98
-3.92,-3.34,39.8,18.5,-4.41,-20.93,4.52,3.39,-21.79,-19.18,1.03,0.77,-15.4,54.08,90.01,67.51,-20.46,50.97,87.94,65.96
-3.22,-3.1,39.8,18.66,-4.45,-20.25,4.52,3.39,-21.6,-18.32,1.03,0.78,-15.35,54.16,89.95,67.46,-20.31,51.27,87.91,65.93
-2.19,-2.59,39.75,18.89,-4.38,-19.1,4.52,3.39,-21.26,-17.11,1.03,0.78,-15.22,54.42,89.95,67.46,-20.04,51.76,87.87,65.9
