thumb_cmc_spread,thumb_cmc_stretch,thumb_mcp_stretch,thumb_ip_stretch,index_mcp_spread,index_mcp_stretch,index_pip_stretch,index_dip_stretch,middle_mcp_spread,middle_mcp_stretch,middle_pip_stretch,middle_dip_stretch,ring_mcp_spread,ring_mcp_stretch,ring_pip_stretch,ring_dip_stretch,pinky_mcp_spread,pinky_mcp_stretch,pinky_pip_stretch,pinky_dip_stretch
25.73,57.1,0.79,0,0,89.62,76.11,57.08,-6.04,89.62,79.11,59.33,-12.61,89.6,91.14,68.36,-22.9,67.49,92.31,69.23
25.6,57.1,0.79,0.02,0,89.62,76.11,57.08,-6.04,89.62,78.42,58.82,-12.61,89.6,91.01,68.26,-22.89,67.28,92.18,69.13
25.54,57.04,0.68,0,0,89.62,75.75,56.81,-6.04,89.62,78.2,58.65,-12.61,89.6,91.01,68.26,-22.89,67.12,91.78,68.83
25.48,57.02,0.68,0.03,0,89.62,75.57,56.68,-6.04,89.62,78.14,58.61,-12.61,89.6,91.15,68.36,-22.86,66.96,91.78,68.83
25.51,57.11,0.68,0.02,0,89.62,75.69,56.76,-6.04,89.62,78.2,58.65,-12.61,89.6,91.01,68.26,-22.91,66.81,91.78,68.83
25.36,57.14,0.68,0.02,0,89.62,75.51,56.63,-6.04,89.62,78.14,58.61,-12.61,89.6,90.94,68.21,-22.89,66.58,91.71,68.79
25.22,57.06,0.68,0.03,0,89.62,75.51,56.63,-6.04,89.62,78.2,58.65,-12.61,89.6,90.32,67.74,-22.87,66.15,91.78,68.83
25.36,57.01,0.68,0.03,0,89.62,75.51,56.63,-6.04,89.62,78.17,58.63,-12.61,89.6,90.39,67.79,-22.86,66.13,91.78,68.83
24.98,56.78,0.68,0.03,0,89.62,75.57,56.68,-6.04,89.62,78.37,58.78,-12.61,89.6,90.42,67.81,-22.87,66.11,91.56,68.67
24.96,56.46,0.68,0.03,0,89.62,75.63,56.72,-6.04,89.62,78.54,58.9,-12.61,89.6,90.39,67.79,-22.91,66.14,91.52,68.64
24.05,54.28,0.68,0.03,0,89.62,75.99,56.99,-6.04,89.62,78.65,58.99,-12.61,89.6,90.45,67.84,-22.91,66.17,91.52,68.64
24.12,54.29,0.68,0.03,0,89.62,76.43,57.33,-6.04,89.62,79.28,59.46,-12.61,89.6,90.42,67.81,-22.96,66.12,91.52,68.64
24.27,54.34,0.68,0.02,0,89.62,76.79,57.59,-6.04,89.62,79.25,59.44,-12.61,89.6,90.52,67.89,-22.96,66.07,91.46,68.6
23.62,52.52,0.57,0.03,0,89.62,77.26,57.95,-6.04,89.62,79.57,59.68,-12.61,89.6,90.6,67.95,-22.99,66.09,91.4,68.55
21.65,48.4,0.57,0,0,89.62,77.92,58.44,-6.04,89.62,79.52,59.64,-12.61,89.6,91.15,68.36,-23.01,66.2,91.4,68.55
21.65,47.42,0.57,0,0,89.62,78.38,58.78,-6.04,89.62,79.72,59.79,-12.61,89.6,90.95,68.21,-23.04,66.23,91.36,68.52
20.97,44.28,0.57,0.03,0,89.62,80.04,60.03,-6.04,89.62,80.09,60.07,-12.61,89.6,91.01,68.26,-23.06,66.23,91.4,68.55
20.43,41.09,0.57,0,0,89.62,81.27,60.95,-6.04,89.62,80.27,60.2,-12.61,89.6,90.45,67.84,-23.07,66.18,91.46,68.6
20.17,39.24,0.68,0.03,0,89.62,81.76,61.32,-6.04,89.62,81.23,60.93,-12.61,89.6,90.26,67.69,-23.08,66.14,91.33,68.5
20.11,38.08,0.68,0.02,0,89.62,82.14,61.6,-6.04,89.62,81.35,61.02,-12.61,89.6,90.39,67.79,-23.1,66.15,91.4,68.55
20.18,38.08,0.68,0.03,0,89.62,82.78,62.08,-6.04,89.62,81.35,61.01,-12.61,89.6,90.39,67.79,-23.12,66.12,91.33,68.5
20.16,37.69,0.68,0,0,89.62,82.88,62.16,-6.04,89.59,81.41,61.06,-12.61,89.6,90.26,67.69,-23.12,66.08,91.27,68.45
20.38,37.19,0.68,0,0,89.62,83.03,62.27,-6.04,89.53,81.47,61.1,-12.61,89.6,90.26,67.69,-23.13,66.1,91.21,68.4
20.72,37.33,0.68,0,0,89.62,83.22,62.42,-6.04,89.58,81.59,61.19,-12.61,89.6,90.26,67.69,-23.12,66.06,91.27,68.45
20.95,38.02,0.68,0,0,89.62,83.03,62.28,-6.04,89.51,81.59,61.19,-12.61,89.6,90.26,67.69,-23.13,66.04,91.27,68.45
21.26,38.84,0.57,0.03,0,89.62,83.03,62.27,-6.04,89.45,81.41,61.06,-12.61,89.6,90.26,67.69,-23.15,66.03,91.21,68.4
21.52,40.27,0.57,0.04,0,89.62,82.53,61.89,-6.04,89.46,81.35,61.01,-12.61,89.6,90.06,67.55,-23.14,66.02,91.08,68.31
22.06,41.56,0.57,0.05,0,89.62,82.31,61.73,-6.04,89.62,81.26,60.95,-12.61,89.6,90.19,67.64,-23.15,66.06,91.01,68.26
22.41,42.71,0.57,0.03,0,89.62,81.82,61.37,-6.04,89.62,81.29,60.97,-12.61,89.6,90.13,67.59,-23.12,66.04,91.01,68.26
22.98,44.74,0.46,0,0,89.62,81.51,61.13,-6.04,89.56,81.35,61.01,-12.61,89.6,90.19,67.64,-23.14,66.02,90.92,68.19
23.57,46.8,0.46,0.04,0,89.62,81.1,60.83,-6.04,89.59,80.94,60.7,-12.61,89.6,90.19,67.64,-23.15,66.04,91.01,68.26
